Name,POS,Age,HT,WT,NAT,APP,SUB,SV,GA,A,FC,FA,YC,RC,Unnamed: 15,G,SH,ST,team_id,P,SB,S,GC,SO
Martin Jedlicka,G,28,1.88 m,--,Czechia,0,0,0.0,0.0,0,0,0,0,0,,,,,450,,,,,
Matej Kovar,G,25,1.96 m,87 kg,Czechia,9,0,18.0,12.0,0,0,1,0,0,,,,,450,,,,,
Lukas Hornicek,G,23,1.93 m,88 kg,Czechia,0,0,0.0,0.0,0,0,0,0,0,,,,,450,,,,,
Ladislav Krejcí,D,27,1.91 m,87 kg,Czechia,9,0,,,1,15,8,2,0,,2,8,5,450,,,,,
Vladimír Coufal,D,33,1.75 m,76 kg,Czechia,9,0,,,1,7,3,2,0,,1,3,3,450,,,,,
Jaroslav Zeleny,D,33,1.88 m,77 kg,Czechia,8,0,,,3,13,3,2,0,,0,1,0,450,,,,,
Tomás Holes,D,33,1.8 m,73 kg,Czechia,5,0,,,0,4,1,1,0,,0,0,0,450,,,,,
Martin Vitík,D,23,1.93 m,83 kg,Czechia,2,0,,,0,6,0,0,0,,0,2,0,450,,,,,
Robin Hranác,D,26,1.91 m,83 kg,Czechia,4,1,,,0,10,1,1,0,,1,2,1,450,,,,,
David Jurásek,D,25,1.83 m,76 kg,Czechia,3,1,,,0,3,0,0,0,,0,3,0,450,,,,,
Stepán Chaloupek,D,23,1.83 m,68 kg,Czechia,3,2,,,0,2,1,0,0,,0,1,0,450,,,,,
Vladimír Darida,M,35,1.73 m,67 kg,Czechia,2,0,,,0,2,1,0,0,,0,0,0,450,,,,,
Tomás Soucek,M,31,1.93 m,86 kg,Czechia,10,1,,,0,20,8,0,0,,2,19,6,450,,,,,
Michal Sadílek,M,26,1.7 m,63 kg,Czechia,7,6,,,1,2,2,0,0,,0,5,0,450,,,,,
Pavel Bucha,M,28,1.75 m,68 kg,Czechia,--,--,,,--,--,--,--,--,,--,--,--,450,,,,,
Lukás Provod,M,29,1.91 m,83 kg,Czechia,9,3,,,1,12,10,0,0,,0,16,3,450,,,,,
Pavel Sulc,M,25,1.78 m,76 kg,Czechia,9,0,,,1,12,7,0,0,,2,19,8,450,,,,,
Adam Karabec,M,22,1.85 m,73 kg,Czechia,3,2,,,0,1,5,0,0,,2,4,3,450,,,,,
Denis Višinský,M,23,--,--,Czechia,0,0,,,0,0,0,0,0,,0,0,0,450,,,,,
Lukás Cerv,M,25,1.83 m,68 kg,Czechia,8,2,,,2,4,16,0,0,,1,9,3,450,,,,,
Patrik Schick,F,30,1.91 m,87 kg,Czechia,8,0,,,0,12,6,0,0,,5,26,12,450,,,,,
Jan Kliment,F,32,1.85 m,73 kg,Czechia,2,2,,,0,0,0,0,0,,1,3,1,450,,,,,
Tomás Chorý,F,31,1.98 m,102 kg,Czechia,9,5,,,3,14,5,1,0,,1,8,3,450,,,,,
Tomás Ladra,F,29,1.78 m,73 kg,Czechia,0,0,,,0,0,0,0,0,,0,0,0,450,,,,,
Mojmír Chytil,F,26,1.88 m,82 kg,Czechia,3,3,,,0,1,1,0,0,,0,0,0,450,,,,,
Guillermo Ochoa,G,40,1.91 m,83 kg,Mexico,,,,,--,--,--,--,--,,,,,203,--,--,--,--,
Carlos Acevedo,G,30,1.83 m,73 kg,Mexico,,,,,--,--,--,--,--,,,,,203,--,--,--,--,
Raúl Rangel,G,26,1.91 m,87 kg,Mexico,,,,,--,--,--,--,--,,,,,203,--,--,--,--,
Jesús Gallardo,D,31,1.75 m,68 kg,Mexico,,,,,--,--,--,--,--,,--,--,,203,--,--,,,--
Jorge Sánchez,D,28,1.75 m,68 kg,Mexico,,,,,--,--,--,--,--,,--,--,,203,--,--,,,--
César Montes,D,29,1.96 m,87 kg,Mexico,,,,,--,--,--,--,--,,--,--,,203,--,--,,,--
Jesús Angulo,D,28,1.78 m,73 kg,Mexico,,,,,--,--,--,--,--,,--,--,,203,--,--,,,--
Johan Vásquez,D,27,1.83 m,78 kg,Mexico,,,,,--,--,--,--,--,,--,--,,203,--,--,,,--
Richard Ledezma,D,25,1.73 m,68 kg,Mexico,,,,,--,--,--,--,--,,--,--,,203,--,--,,,--
