team,group,continent,team_id,team_link,squad_list
Czechia,A,Europe,450,https://www.espn.co.uk/football/team/_/id/450/czechia,https://www.espn.co.uk/football/team/squad/_/id/450
Mexico,A,North America,203,https://www.espn.co.uk/football/team/_/id/203/mexico,https://www.espn.co.uk/football/team/squad/_/id/203
South Africa,A,Africa,467,https://www.espn.co.uk/football/team/_/id/467/south-africa,https://www.espn.co.uk/football/team/squad/_/id/467
South Korea,A,Asia,451,https://www.espn.co.uk/football/team/_/id/451/south-korea,https://www.espn.co.uk/football/team/squad/_/id/451
Bosnia-Herzegovina,B,Europe,452,https://www.espn.co.uk/football/team/_/id/452/bosnia-herzegovina,https://www.espn.co.uk/football/team/squad/_/id/452
Canada,B,North America,206,https://www.espn.co.uk/football/team/_/id/206/canada,https://www.espn.co.uk/football/team/squad/_/id/206
Qatar,B,Asia,4398,https://www.espn.co.uk/football/team/_/id/4398/qatar,https://www.espn.co.uk/football/team/squad/_/id/4398
Switzerland,B,Europe,475,https://www.espn.co.uk/football/team/_/id/475/switzerland,https://www.espn.co.uk/football/team/squad/_/id/475
Brazil,C,South America,205,https://www.espn.co.uk/football/team/_/id/205/brazil,https://www.espn.co.uk/football/team/squad/_/id/205
Haiti,C,South America,2654,https://www.espn.co.uk/football/team/_/id/2654/haiti,https://www.espn.co.uk/football/team/squad/_/id/2654
Morocco,C,Africa,2869,https://www.espn.co.uk/football/team/_/id/2869/morocco,https://www.espn.co.uk/football/team/squad/_/id/2869
Scotland,C,Europe,580,https://www.espn.co.uk/football/team/_/id/580/scotland,https://www.espn.co.uk/football/team/squad/_/id/580
Australia,D,Oceanic,628,https://www.espn.co.uk/football/team/_/id/628/australia,https://www.espn.co.uk/football/team/squad/_/id/628
Paraguay,D,South America,210,https://www.espn.co.uk/football/team/_/id/210/paraguay,https://www.espn.co.uk/football/team/squad/_/id/210
Türkiye,D,Europe,465,https://www.espn.co.uk/football/team/_/id/465/turkiye,https://www.espn.co.uk/football/team/squad/_/id/465
United States,D,North America,660,https://www.espn.co.uk/football/team/_/id/660/united-states,https://www.espn.co.uk/football/team/squad/_/id/660
Curacao,E,South America,11678,https://www.espn.co.uk/football/club/_/id/11678/curacao,https://www.espn.co.uk/football/team/squad/_/id/11678
Ecuador,E,South America,209,https://www.espn.co.uk/football/team/_/id/209/ecuador,https://www.espn.co.uk/football/team/squad/_/id/209
Germany,E,Europe,481,https://www.espn.co.uk/football/team/_/id/481/germany,https://www.espn.co.uk/football/team/squad/_/id/481
Ivory Coast,E,Africa,4789,https://www.espn.co.uk/football/team/_/id/4789/ivory-coast,https://www.espn.co.uk/football/team/squad/_/id/4789
Japan,F,Asia,627,https://www.espn.co.uk/football/team/_/id/627/japan,https://www.espn.co.uk/football/team/squad/_/id/627
Netherlands,F,Europe,449,https://www.espn.co.uk/football/team/_/id/449/netherlands,https://www.espn.co.uk/football/team/squad/_/id/449
Sweden,F,Europe,466,https://www.espn.co.uk/football/team/_/id/466/sweden,https://www.espn.co.uk/football/team/squad/_/id/466
Tunisia,F,Africa,659,https://www.espn.co.uk/football/team/_/id/659/tunisia,https://www.espn.co.uk/football/team/squad/_/id/659
Belgium,G,Europe,459,https://www.espn.co.uk/football/team/_/id/459/belgium,https://www.espn.co.uk/football/team/squad/_/id/459
Egypt,G,Africa,2620,https://www.espn.co.uk/football/team/_/id/2620/egypt,https://www.espn.co.uk/football/team/squad/_/id/2620
Iran,G,Asia,469,https://www.espn.co.uk/football/team/_/id/469/iran,https://www.espn.co.uk/football/team/squad/_/id/469
New Zealand,G,Oceana,2666,https://www.espn.co.uk/football/team/_/id/2666/new-zealand,https://www.espn.co.uk/football/team/squad/_/id/2666
Cape Verde,H,Africa,2597,https://www.espn.co.uk/football/team/_/id/2597/cape-verde,https://www.espn.co.uk/football/team/squad/_/id/2597
Saudi Arabia,H,Asia,655,https://www.espn.co.uk/football/team/_/id/655/saudi-arabia,https://www.espn.co.uk/football/team/squad/_/id/655
Spain,H,Europe,164,https://www.espn.co.uk/football/team/_/id/164/spain,https://www.espn.co.uk/football/team/squad/_/id/164
Uruguay,H,South America,212,https://www.espn.co.uk/football/team/_/id/212/uruguay,https://www.espn.co.uk/football/team/squad/_/id/212
France,I,Europe,478,https://www.espn.co.uk/football/team/_/id/478/france,https://www.espn.co.uk/football/team/squad/_/id/478
Iraq,I,Asia,437,https://www.espn.co.uk/football/team/_/id/4375/iraq,https://www.espn.co.uk/football/team/squad/_/id/437
Norway,I,Europe,464,https://www.espn.co.uk/football/team/_/id/464/norway,https://www.espn.co.uk/football/team/squad/_/id/464
Senegal,I,Africa,654,https://www.espn.co.uk/football/team/_/id/654/senegal,https://www.espn.co.uk/football/team/squad/_/id/654
Algeria,J,Africa,624,https://www.espn.co.uk/football/team/_/id/624/algeria,https://www.espn.co.uk/football/team/squad/_/id/624
Argentina,J,South America,202,https://www.espn.co.uk/football/team/_/id/202/argentina,https://www.espn.co.uk/football/team/squad/_/id/202
Austria,J,Europe,474,https://www.espn.co.uk/football/team/_/id/474/austria,https://www.espn.co.uk/football/team/squad/_/id/474
Jordan,J,Asia,2917,https://www.espn.co.uk/football/team/_/id/2917/jordan,https://www.espn.co.uk/football/team/squad/_/id/2917
Colombia,K,South America,208,https://www.espn.co.uk/football/team/_/id/208/colombia,https://www.espn.co.uk/football/team/squad/_/id/208
Congo DR,K,Africa,2850,https://www.espn.co.uk/football/team/_/id/2850/congo-dr,https://www.espn.co.uk/football/team/squad/_/id/2850
Portugal,K,Europe,482,https://www.espn.co.uk/football/team/_/id/482/portugal,https://www.espn.co.uk/football/team/squad/_/id/482
Uzbekistan,K,Asia,2570,https://www.espn.co.uk/football/team/_/id/2570/uzbekistan,https://www.espn.co.uk/football/team/squad/_/id/2570
Croatia,L,Europe,477,https://www.espn.co.uk/football/team/_/id/477/croatia,https://www.espn.co.uk/football/team/squad/_/id/477
England,L,Europe,448,https://www.espn.co.uk/football/team/_/id/448/england,https://www.espn.co.uk/football/team/squad/_/id/448
Ghana,L,Africa,4469,https://www.espn.co.uk/football/team/_/id/4469/ghana,https://www.espn.co.uk/football/team/squad/_/id/4469
Panama,L,South America,2659,https://www.espn.co.uk/football/team/_/id/2659/panama,https://www.espn.co.uk/football/team/squad/_/id/2659
