path,kind,reason,size_bytes
images/Czechia/Lukás_Cerv/05.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Lukás_Cerv/05.jpg',5638
images/Czechia/Lukás_Cerv/09.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Lukás_Cerv/09.jpg',5638
images/Czechia/Tomás_Holes/01.jpg,unknown(b'Please s'),UnidentifiedImageError: cannot identify image file 'images/Czechia/Tomás_Holes/01.jpg',126
images/Czechia/Tomás_Holes/06.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Tomás_Holes/06.jpg',433
images/Czechia/Tomás_Holes/05.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Tomás_Holes/05.jpg',5641
images/Czechia/Tomás_Holes/08.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Tomás_Holes/08.jpg',433
images/Czechia/Robin_Hranác/03.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Robin_Hranác/03.jpg',848504
images/Czechia/Robin_Hranác/07.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Robin_Hranác/07.jpg',848156
images/Czechia/Robin_Hranác/09.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Robin_Hranác/09.jpg',434
images/Czechia/Pavel_Sulc/01.jpg,unknown(b'Please s'),UnidentifiedImageError: cannot identify image file 'images/Czechia/Pavel_Sulc/01.jpg',126
images/Czechia/Pavel_Sulc/02.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Pavel_Sulc/02.jpg',434
images/Czechia/Pavel_Sulc/10.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Pavel_Sulc/10.jpg',849533
images/Czechia/Stepán_Chaloupek/01.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Stepán_Chaloupek/01.jpg',433
images/Czechia/Stepán_Chaloupek/09.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Stepán_Chaloupek/09.jpg',848620
images/Czechia/Adam_Karabec/01.jpg,unknown(b'Please s'),UnidentifiedImageError: cannot identify image file 'images/Czechia/Adam_Karabec/01.jpg',126
images/Czechia/Adam_Karabec/03.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Adam_Karabec/03.jpg',848898
images/Czechia/Adam_Karabec/10.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Adam_Karabec/10.jpg',848318
images/Czechia/Adam_Karabec/04.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Adam_Karabec/04.jpg',848965
images/Czechia/Ladislav_Krejcí/01.jpg,unknown(b'Please s'),UnidentifiedImageError: cannot identify image file 'images/Czechia/Ladislav_Krejcí/01.jpg',126
images/Czechia/Ladislav_Krejcí/06.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Ladislav_Krejcí/06.jpg',848966
images/Czechia/Ladislav_Krejcí/07.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Ladislav_Krejcí/07.jpg',848305
